date,r1,r2,r3,r4,r5,r6,blue
2014-05-11,9,13,15,28,30,33,8
2014-05-13,14,17,19,22,26,31,2
2014-05-15,1,4,5,11,29,30,14
2014-05-18,2,9,14,19,21,30,4
2014-05-20,1,11,18,20,28,29,1
2014-05-22,2,4,12,18,23,31,8
2014-05-25,2,3,12,13,14,25,11
2014-05-27,5,8,12,13,23,25,13
2014-05-29,3,5,14,18,25,33,6
2014-06-01,2,14,17,27,28,31,8
2014-06-03,6,9,15,24,25,26,9
2014-06-05,3,8,17,21,22,31,16
2014-06-08,2,9,15,16,29,32,14
2014-06-10,3,4,5,8,10,22,6
2014-06-12,2,5,15,17,18,21,16
2014-06-15,1,6,7,17,18,23,6
2014-06-17,4,12,13,22,27,29,16
2014-06-19,5,12,17,19,25,30,11
2014-06-22,1,7,9,19,28,29,7
2014-06-24,2,4,12,17,22,25,14
2014-06-26,1,3,7,13,19,32,16
2014-06-29,1,12,16,20,30,33,2
2014-07-01,1,3,6,13,30,31,12
2014-07-03,3,9,11,22,27,29,6
2014-07-06,6,10,12,17,18,33,11
2014-07-08,8,9,12,15,19,22,10
2014-07-10,2,3,5,6,9,17,7
2014-07-13,2,7,16,22,27,28,2
2014-07-15,5,14,16,17,25,30,7
2014-07-17,8,14,22,24,27,29,10
2014-07-20,2,4,20,25,26,29,11
2014-07-22,5,6,19,21,23,33,12
2014-07-24,1,6,9,10,13,25,8
2014-07-27,1,2,11,19,23,29,8
2014-07-29,2,4,10,12,14,30,8
2014-07-31,6,18,22,23,32,33,6
2014-08-03,3,6,11,14,16,29,15
2014-08-05,4,6,14,17,27,30,9
2014-08-07,5,9,11,19,24,32,13
2014-08-10,1,5,12,19,27,29,14
2014-08-12,3,13,18,19,22,26,7
2014-08-14,2,8,9,10,20,29,5
2014-08-17,1,10,18,20,23,29,1
2014-08-19,5,6,8,14,22,31,8
2014-08-21,12,14,17,19,22,24,8
2014-08-24,7,13,24,25,27,32,15
2014-08-26,2,13,17,20,29,31,7
2014-08-28,1,5,10,11,13,32,14
2014-08-31,1,6,9,10,14,16,11
2014-09-02,16,18,20,23,24,32,7
2014-09-04,14,16,21,24,28,31,13
2014-09-07,3,8,9,10,18,33,4
2014-09-09,2,6,12,19,27,28,13
2014-09-11,14,16,17,19,27,32,4
2014-09-14,9,14,17,18,21,25,15
2014-09-16,11,14,17,22,25,27,16
2014-09-18,3,8,9,20,23,28,2
2014-09-21,2,5,11,15,19,28,2
2014-09-23,1,8,11,13,19,30,6
2014-09-25,2,8,17,20,22,28,2
2014-09-28,1,15,16,21,24,30,3
2014-09-30,12,14,28,31,32,33,7
2014-10-02,2,7,23,30,32,33,10
2014-10-05,1,9,10,11,13,32,3
2014-10-07,9,10,14,15,19,29,16
2014-10-09,5,10,17,25,28,29,4
2014-10-12,5,7,15,18,26,30,3
2014-10-14,6,13,17,20,26,29,9
2014-10-16,1,7,12,16,23,28,4
2014-10-19,1,2,13,22,28,30,9
2014-10-21,6,9,11,16,20,29,11
2014-10-23,1,6,11,17,28,33,5
2014-10-26,2,17,20,24,31,33,4
2014-10-28,10,11,15,26,31,32,6
2014-10-30,6,11,16,17,22,27,1
2014-11-02,2,10,12,21,23,27,12
2014-11-04,5,7,8,17,18,24,14
2014-11-06,5,8,9,20,28,32,2
2014-11-09,1,2,10,24,30,33,10
2014-11-11,5,17,21,22,28,32,14
2014-11-13,5,6,14,15,18,33,8
2014-11-16,13,14,16,23,30,31,13
2014-11-18,5,16,22,23,26,28,2
2014-11-20,2,4,11,13,25,33,1
2014-11-23,3,16,19,27,31,32,10
2014-11-25,3,6,9,11,25,29,9
2014-11-27,4,6,13,29,31,33,13
2014-11-30,1,14,15,20,25,29,11
2014-12-02,6,10,11,14,17,33,6
2014-12-04,8,9,11,16,21,24,10
2014-12-07,6,21,22,23,25,28,13
2014-12-09,3,12,18,20,25,26,16
2014-12-11,3,5,6,9,10,27,14
2014-12-14,10,12,13,23,26,29,11
2014-12-16,1,6,13,20,29,32,1
2014-12-18,6,7,22,26,31,32,10
2014-12-21,1,2,5,12,15,16,13
2014-12-23,7,9,10,15,19,33,1
2014-12-25,3,8,14,22,24,32,9
2014-12-28,4,5,8,11,21,27,8
2014-12-30,8,13,15,20,21,25,12
2015-01-01,1,7,9,16,20,23,6
2015-01-04,7,15,16,25,28,32,5
2015-01-06,10,15,20,23,24,31,15
2015-01-08,2,14,15,16,23,24,10
2015-01-11,7,10,16,17,18,32,15
2015-01-13,1,10,11,29,31,33,13
2015-01-15,1,7,9,17,20,33,8
2015-01-18,4,7,10,16,20,22,3
2015-01-20,4,7,14,17,21,25,14
2015-01-22,1,2,3,8,21,31,9
2015-01-25,4,14,15,17,18,20,15
2015-01-27,3,5,22,23,29,31,6
2015-01-29,8,9,24,25,26,29,1
2015-02-01,2,12,16,19,27,30,11
2015-02-03,1,7,20,24,25,33,4
2015-02-05,2,6,10,15,17,31,13
2015-02-08,13,18,20,25,27,33,12
2015-02-10,6,9,12,14,28,29,9
2015-02-12,2,6,11,19,25,26,4
2015-02-15,1,4,7,19,22,23,4
2015-02-17,14,15,16,17,27,28,8
2015-02-26,4,7,10,16,23,25,10
2015-03-01,8,9,10,13,29,30,1
2015-03-03,9,11,16,18,23,24,10
2015-03-05,10,11,12,15,27,32,14
2015-03-08,2,13,17,21,22,33,13
2015-03-10,5,7,9,16,26,29,7
2015-03-12,4,7,10,26,27,28,14
2015-03-15,7,14,15,19,21,28,7
2015-03-17,8,11,14,15,16,26,7
2015-03-19,1,5,7,22,26,32,11
2015-03-22,11,14,16,18,29,32,16
2015-03-24,3,6,21,29,31,32,5
2015-03-26,12,13,17,18,20,27,13
2015-03-29,1,8,9,22,24,33,3
2015-03-31,4,6,16,17,26,33,3
2015-04-02,5,7,12,18,28,31,3
2015-04-05,5,6,11,12,14,33,14
2015-04-07,1,13,15,26,29,30,12
2015-04-09,13,16,18,27,30,32,16
2015-04-12,4,9,11,17,21,25,6
2015-04-14,9,10,19,21,23,32,8
2015-04-16,11,12,15,24,26,27,15
2015-04-19,2,3,4,13,14,16,2
2015-04-21,1,5,13,22,30,31,7
2015-04-23,5,7,10,14,23,31,1
2015-04-26,2,3,20,24,26,27,9
2015-04-28,13,16,17,22,25,27,10
2015-04-30,7,12,14,17,20,23,5
2015-05-03,3,9,12,16,17,31,4
2015-05-05,4,10,24,26,28,32,9
2015-05-07,2,4,11,16,25,26,12
2015-05-10,3,7,17,22,32,33,10
2015-05-12,1,2,7,10,22,26,7
2015-05-14,1,10,15,18,19,28,2
2015-05-17,1,7,8,16,18,20,14
2015-05-19,9,20,24,25,26,32,4
2015-05-21,2,9,10,18,19,20,15
2015-05-24,2,6,9,16,25,32,14
2015-05-26,1,3,18,27,31,32,13
2015-05-28,6,18,22,26,32,33,4
2015-05-31,9,14,15,18,21,26,16
