created_at,name,act_name,symbol,qty,cex,status,up_status,path,level,earn,cost,buy_px,benefit,sell_px,profit,order_id,client_order_id,fx_order_id,fx_client_order_id,open_at,close_at
2024-08-30 13:37:40.385,bitgetAPU,bitget,APUUSDT,118436.64,bitget,filled,0,buy->sell,1,1.2,28.732728864,0.0002426,29.928938928,0.0002527,1.2,1213287751379263488,108d7f51-adb3-49d4-af05-8435bc89a9ec,1213294033272250368,fba18e30-5348-4a93-9f89-d1373557c768,2024-08-30 14:02:35.358,2024-08-30 16:24:02.313
2024-09-01 08:30:37.063,bitgetAPU,bitget,APUUSDT,125182.56,bitget,filled,0,buy->sell,1,1.2,28.754434032,0.0002297,29.956186608,0.0002393,1.2,1213935252570578945,8aac20d5-83ad-4b96-a73d-09dc98216cdd,1213947586936512518,6b5df621-ee3b-4277-a475-b2e81a104a82,2024-09-01 08:49:29.178,2024-09-13 16:19:32.668
2024-09-01 13:53:37.876,bitgetAPU,bitget,APUUSDT,131810.19,bitget,filled,0,buy->sell,1,1.2,28.774164477,0.0002183,29.973637206,0.0002274,1.2,1214016532947607559,5d0ffb92-9d58-4e3e-bb65-6958ea2f01f9,1214018293838061570,b5315947-97b6-41f0-8597-e04cbe713039,2024-09-01 14:00:11.520,2024-09-12 22:28:50.743
2024-09-02 13:16:37.891,bitgetAPU,bitget,APUUSDT,158856.24,bitget,filled,0,buy->sell,1,1.2,28.75297944,0.000181,29.960286864,0.0001886,1.21,1214369618379612164,d17ee069-e8b3-400d-b01d-c7b8dc7e67f0,1214375909265186817,1ba27363-45aa-443b-9435-1a4bf473e4ac,2024-09-02 13:41:13.630,2024-09-02 18:25:14.130
2024-09-02 14:52:37.616,bitgetAPU,bitget,APUUSDT,166527.89,bitget,filled,0,buy->sell,1,1.2,28.792672181,0.0001729,29.991672989,0.0001801,1.2,1214393777151221764,03837a9e-d5d6-4128-bea0-78af4e0b54e0,1214398551904952330,f4d8655d-8b06-4b15-aa50-4d192cd43cd3,2024-09-02 15:11:25.556,2024-09-02 16:49:18.336
2024-09-02 23:05:37.539,bitgetAPU,bitget,APUUSDT,165883.33,bitget,filled,0,buy->sell,1,1.2,28.797346088,0.0001736,29.991706064,0.0001808,1.19,1214517840234356744,86961a62-4329-4688-931c-76bdadaecede,1214522369994596355,b9400a5f-67ce-4ac4-8918-6bf6faf9d9e7,2024-09-02 23:23:01.237,2024-09-03 05:05:14.652
2024-09-04 09:00:25.388,bitgetMEW,bitget,MEWUSDT,7781.09,bitget,filled,0,buy->sell,1,1.2,28.77447082,0.003698,29.97275868,0.003852,1.2,1215029917206126620,755e3194-c68f-490c-a447-8ac8b91e5b18,1215031176499765301,6e59d82a-b8a7-4ea8-9436-49814d0eafc0,2024-09-04 09:04:54.826,2024-09-04 09:43:52.603
2024-09-04 22:21:29.200,bitgetMEW,bitget,MEWUSDT,7487.83,bitget,filled,0,sell->buy,1,1.2,30.0261983,0.00401,31.2242511,0.00417,1.2,1215231508957831168,af28d30c-087e-47b6-9d02-451512588b70,1215237543307190283,0502e54e-64c7-4513-9940-102a5f63940f,2024-09-04 22:44:51.994,2024-09-05 11:36:47.538
2024-09-04 23:07:37.398,bitgetAPU,bitget,APUUSDT,156576.2,bitget,filled,0,buy->sell,1,1.2,28.66910222,0.0001831,29.87473896,0.0001908,1.21,1215243118476730390,82f32c40-4001-4114-ba66-0b5dfa4ce66b,1215250921723469827,fcac3936-e7eb-4330-a655-758a65ea4bb3,2024-09-04 23:37:56.277,2024-09-05 00:10:05.960
2024-09-05 14:04:42.234,bitgetAPU,bitget,APUUSDT,152594.1,bitget,filled,0,buy->sell,1,1.2,28.65717198,0.0001878,29.86266537,0.0001957,1.21,1215468889824763911,271bc724-9677-4cd0-80f9-cea14746a005,1215472133728837633,a1d424ee-48fb-40de-9816-963ae1675aa3,2024-09-05 14:17:10.367,2024-09-05 14:21:49.380
