created_at,name,act_name,symbol,qty,cex,status,up_status,path,level,earn,cost,buy_px,benefit,sell_px,profit,order_id,client_order_id,fx_order_id,fx_client_order_id,open_at,close_at
2024-10-15 00:23:03.001,bitgetTURBO,bitget,TURBOUSDT,9654.0,bitget,filled,1,sell->buy,1,4.6,100.02354936,0.01036084,104.62358382,0.01083733,4.6,1229757613521780737,b151756d-0df9-482a-92ef-ca75d70541c6,1.229760633865257e+18,ded95d48-3588-4e11-a666-1bc7445e6b04,2024-10-15 00:34:28.222,2024-10-17 00:27:23.447
2024-10-17 07:43:42.648,bitgetMANEKI,bitget,MANEKIUSDT,4163.78,bitget,filled,1,sell->buy,1,1.8,30.0624916,0.00722,31.852917,0.00765,1.79,1230593291834900491,8affa168-ce17-4685-822e-9ca43a7f5550,1.2305973103220654e+18,42f2c60a-0e33-431a-95d7-3bcafdc5ff7c,2024-10-17 07:58:22.308,2024-10-17 08:24:56.384
2024-10-17 11:07:39.903,bitgetMANEKI,bitget,MANEKIUSDT,4237.29,bitget,filled,1,buy->sell,1,1.8,28.1356056,0.00664,29.9152674,0.00706,1.78,1230644618011099142,d1f73b74-1dea-46c2-89b6-d18e23f835dd,1.23064715019631e+18,c87202ee-4f0c-4fca-a186-f1e3742d9e21,2024-10-17 11:16:12.752,2024-10-17 11:58:11.584
2024-10-17 11:44:45.823,bitgetMANEKI,bitget,MANEKIUSDT,4467.61,bitget,filled,1,sell->buy,1,1.8,30.1116914,0.00674,31.8987354,0.00714,1.79,1230653954804432904,c809704a-b2dd-46f9-a7e9-bb62d12989f6,1.230657707012014e+18,08227c16-4bbf-4a63-95d0-e27b8fe13c73,2024-10-17 11:58:41.736,2024-10-17 19:56:23.330
2024-10-17 10:36:45.511,bitgetMANEKI,bitget,MANEKIUSDT,4026.85,bitget,filled,1,buy->sell,1,1.8,28.1476815,0.00699,29.959764,0.00744,1.81,1230636839280066579,6a66900c-b3be-48ce-96c3-f3a7e2117db3,1.2306403395609723e+18,f471c5c3-7567-4b6f-8c2f-f8073119d577,2024-10-17 10:49:53.194,2024-10-17 21:13:19.085
2024-10-17 21:30:34.953,bitgetMEW,bitget,MEWUSDT,3535.23,bitget,filled,1,sell->buy,1,1.8,30.01763793,0.008491,31.81707,0.009,1.8,1230801377963032610,f1809ed5-ce17-48f6-9384-86e794f6051a,1.2308053659282473e+18,cc365f46-12f2-4fbb-a777-0de8c74c9859,2024-10-17 21:46:10.775,2024-10-18 01:02:47.294
2024-10-14 23:46:04.247,bitgetTURBO,bitget,TURBOUSDT,10034.0,bitget,filled,1,sell->buy,1,4.6,100.03586946,0.00996969,104.63585642,0.01042813,4.6,1229748307002933279,63eb834f-fce8-4aae-b067-ef1207e86edb,1.229751070906663e+18,fd593333-7fe5-4762-83e5-08051e05c98b,2024-10-14 23:56:35.328,2024-10-18 02:03:21.938
2024-10-13 08:36:08.701,bitgetSLERF,bitget,SLERFUSDT,167.27,bitget,filled,1,sell->buy,1,1.2,30.008238,0.1794,31.212582,0.1866,1.2,1229156934667223044,ca8ca8d4-0122-4f5a-9a09-30bb4f18f2ed,1.2291586909858857e+18,8009ee5f-c569-4882-8016-d01df2a01b27,2024-10-13 08:42:20.734,2024-10-18 02:10:38.730
2024-10-18 02:04:45.655,bitgetAPU,bitget,APUUSDT,122271.81,bitget,filled,1,buy->sell,1,4.6,95.090786637,0.0007777,99.688206693,0.0008153,4.6,1230870378319724568,96584678-673f-4c93-a60b-e5088a63f87b,1.230872364838568e+18,d0f57282-71a0-4071-b5aa-4485ef21f5a2,2024-10-18 02:11:58.799,2024-10-18 03:22:24.206
2024-10-18 06:07:19.253,bitgetNEIRO,bitget,NEIROUSDT,361.45,bitget,filled,0,sell->buy,1,1.8,30.036495,0.0831,31.843745,0.0881,1.81,1230931419745501197,10dfb18f-0770-4421-a791-360191248a0d,1.2309339237324063e+18,84efb106-c1ba-4d60-958e-4e043ab802d0,2024-10-18 06:16:43.931,2024-10-18 06:17:28.290
2024-10-18 18:02:25.260,bitgetNEIRO,bitget,NEIROUSDT,314.63,bitget,filled,1,sell->buy,1,1.8,30.078628,0.0956,31.872019,0.1013,1.79,1231111377704992778,75196f13-3aea-491f-b826-0c2071e3fc9b,1.2311123688441938e+18,689868c7-e06d-4931-9b68-98173eb0719b,2024-10-18 18:06:02.127,2024-10-18 18:11:23.354
2024-10-18 18:07:16.870,bitgetNEIRO,bitget,NEIROUSDT,293.11,bitget,filled,1,buy->sell,1,1.8,28.197182,0.0962,29.985153,0.1023,1.79,1231112600961171469,6561c8c6-a406-4984-8b82-948f1d14bd2e,1.2311138631530742e+18,ac66979e-66b6-40db-9dd8-17527ee06bfc,2024-10-18 18:11:23.354,2024-10-18 20:00:54.606
